line_number,mode1,value1,mode2,value2,mode3,value3,mode4,value4
429,64,0,8,1,27,1,69,1
430,76,0,38,0,40,1,38,0
431,20,0,27,1,61,0,40,0
432,49,0,36,0,17,1,39,0
433,48,1,64,1,65,1,26,1
434,24,1,60,0,41,0,3,1
435,9,1,40,0,24,0,49,1
436,10,0,49,0,28,1,36,0
437,36,1,18,1,53,1,22,1
438,44,1,27,0,27,0,36,1
439,36,1,20,1,73,1,23,1
440,76,0,74,0,64,1,64,1
441,48,1,27,1,38,1,0,1
442,0,1,59,0,57,1,27,0
443,7,1,66,1,24,1,64,1
444,65,0,66,0,27,1,0,1
445,53,1,44,0,19,1,64,1
446,27,1,66,1,47,1,25,1
447,65,0,48,1,40,0,53,0
448,28,1,28,1,38,1,49,1
449,27,0,66,0,38,0,28,1
450,64,1,49,1,64,1,10,1
451,20,1,26,1,64,0,24,1
452,8,1,17,1,17,1,72,1
453,21,0,3,1,27,1,27,1
454,44,1,53,1,65,1,64,1
455,45,1,39,1,26,1,64,1
456,60,0,27,0,40,0,38,1
457,17,0,4,0,44,1,0,0
458,0,1,20,0,53,1,27,1
459,27,0,59,0,73,0,0,1
460,40,0,65,0,44,1,27,1
461,17,1,17,0,65,1,48,0
462,41,0,68,1,27,1,8,0
463,63,1,65,1,26,1,40,1
464,0,1,39,1,3,0,49,1
465,9,1,59,1,27,1,28,1
466,64,0,48,0,4,1,7,0
467,49,0,64,1,64,0,25,0
468,1,1,59,1,41,0,61,0
469,47,1,25,1,28,1,44,0
470,41,0,49,1,2,1,37,1
471,74,0,64,1,8,1,26,1
472,26,1,48,1,64,1,41,1
473,37,0,38,1,10,0,49,1
474,52,0,8,0,40,1,26,0
475,41,1,45,0,9,1,26,1
476,48,1,40,1,64,0,38,0
477,40,0,49,0,27,0,3,1
478,17,0,66,0,13,1,0,1
479,40,1,59,1,17,1,64,1
480,59,1,76,0,14,1,65,1
481,45,1,27,1,28,1,9,1
482,48,1,40,1,40,1,41,0
483,62,0,12,0,54,1,0,0
484,64,1,66,0,64,1,41,1
485,72,1,54,1,38,1,28,1
486,65,1,59,0,75,1,27,1
487,7,0,47,0,54,0,68,1
488,64,0,61,1,21,0,65,0
489,20,1,39,1,36,1,27,1
490,49,1,38,1,28,1,64,1
491,52,1,65,1,26,1,40,1
492,8,1,74,1,27,1,28,1
493,36,0,27,0,48,1,17,0
494,59,1,36,1,64,1,36,1
495,64,0,3,1,49,0,27,0
496,65,1,8,0,49,0,71,1
497,40,0,65,1,64,0,69,1
498,24,1,40,1,17,1,59,1
499,49,1,65,1,25,1,38,1
500,66,1,64,1,23,1,36,0
501,66,1,27,1,27,1,16,1
502,64,0,48,1,24,1,36,1
503,17,1,76,0,28,1,41,0
504,66,1,27,1,53,1,17,1
505,49,0,61,1,40,1,28,0
506,64,1,48,0,25,0,65,1
507,37,1,49,1,26,1,27,1
508,9,1,27,0,60,0,41,0
509,65,0,17,1,24,1,48,1
510,63,0,27,0,36,0,40,1
511,21,1,38,1,8,1,3,1
512,47,1,36,1,66,1,17,0
513,8,1,24,1,9,1,66,1
514,10,0,6,0,65,0,26,1
515,66,1,65,1,17,1,27,1
516,39,1,17,1,66,1,38,1
517,65,1,68,0,38,0,26,1
518,40,1,9,1,5,1,33,1
519,32,0,27,1,38,1,4,1
520,75,1,3,0,32,0,38,0
521,28,1,9,1,74,0,41,1
522,27,1,64,1,41,1,66,1
523,60,1,17,1,42,1,64,0
524,65,1,62,1,71,1,24,1
525,50,1,27,1,32,1,17,1
526,52,0,9,1,28,0,64,0
527,48,1,50,1,38,1,64,1
528,54,1,38,1,48,1,38,1
529,66,1,0,1,26,1,17,0
530,72,1,28,1,65,0,26,1
531,66,1,64,1,17,1,38,1
532,32,0,40,0,40,1,25,0
533,0,1,48,1,27,1,65,1
534,26,1,41,1,10,1,49,0
535,63,0,36,1,40,1,27,1
536,49,0,25,1,0,1,38,0
537,45,0,64,1,36,1,64,1
538,42,1,66,1,38,1,55,1
539,28,1,17,1,20,1,40,0
540,28,0,23,1,21,1,17,1
541,66,1,42,1,64,1,24,1
542,63,0,42,0,53,0,38,1
543,59,1,42,0,64,1,40,0
544,27,0,23,1,48,0,40,0
545,25,1,38,1,75,0,39,1
546,49,1,40,1,27,1,24,1
547,24,1,28,0,47,1,75,0
548,60,0,65,1,7,0,29,1
549,47,0,19,1,66,0,55,0
550,26,0,10,0,63,1,41,1
551,42,1,27,1,48,1,38,1
552,66,0,65,1,76,0,38,0
553,13,1,36,1,20,1,40,0
554,48,1,39,1,40,1,0,1
555,19,0,49,0,26,0,17,1
556,40,0,48,1,40,1,40,1
557,61,1,44,1,40,1,40,1
558,36,1,49,0,40,1,26,0
559,27,1,1,1,48,0,42,1
560,38,0,59,0,64,1,0,1
561,42,0,66,1,0,1,40,0
562,76,0,4,1,41,1,41,1
563,29,0,66,0,27,0,65,1
564,74,0,38,1,65,0,39,0
565,48,1,38,1,10,1,38,1
566,48,1,23,1,26,1,41,1
567,49,1,25,1,40,1,23,1
568,40,1,76,0,41,1,7,1
569,0,1,48,1,27,1,26,1
570,48,1,65,1,65,1,38,0
571,48,0,24,1,4,1,8,1
572,53,1,49,1,8,0,38,1
573,25,0,49,0,27,0,65,1
574,64,1,68,1,64,1,64,0
575,66,1,0,1,54,1,40,1
576,16,1,74,0,0,1,3,1
577,48,1,8,1,64,1,37,1
578,42,0,65,1,53,1,62,1
579,64,1,66,1,64,1,41,0
580,40,0,49,1,8,1,47,1
581,8,1,48,1,46,1,7,1
582,61,1,36,1,0,1,66,1
583,65,0,69,0,27,1,36,0
584,38,0,62,0,17,0,4,1
585,27,1,28,1,38,1,47,0
586,72,0,65,1,65,1,64,1
587,42,0,40,0,66,0,64,1
588,48,1,0,1,25,1,65,1
589,38,1,23,1,49,1,0,1
590,48,1,65,1,61,1,64,1
591,55,1,20,0,36,0,38,1
592,69,1,24,1,38,1,8,1
593,0,1,59,0,4,0,38,1
594,76,0,64,1,40,0,0,1
595,65,1,40,1,39,1,49,1
596,36,1,66,1,37,1,24,1
597,66,1,65,0,39,1,27,1
598,76,0,64,1,40,1,41,1
599,40,1,44,1,0,1,26,1
600,23,1,44,0,8,1,4,1
601,0,1,32,1,26,1,53,1
602,48,1,40,1,40,1,17,0
603,54,0,47,0,55,0,17,0
604,49,1,8,1,28,1,26,0
605,48,1,25,1,23,1,27,1
606,64,1,58,0,26,1,65,1
607,0,1,74,0,64,0,24,1
608,64,1,63,1,38,1,26,1
609,26,1,48,1,64,1,41,1
610,17,1,11,1,21,0,25,1
611,48,0,27,1,38,0,64,0
612,48,0,27,0,17,0,25,1
613,59,1,41,1,40,1,3,1
614,27,1,64,1,66,1,17,1
615,64,1,66,1,37,1,28,1
616,9,1,41,1,40,1,44,1
617,65,1,48,1,65,0,0,1
618,63,1,17,0,19,1,61,1
619,65,1,46,1,44,1,64,1
620,64,1,48,1,61,1,41,1
621,44,0,0,1,24,0,40,0
622,61,0,49,1,27,1,27,1
623,55,1,66,1,41,1,64,1
624,23,1,27,1,8,1,59,1
625,64,1,66,1,0,1,25,1
626,24,1,66,1,0,1,36,1
627,8,1,9,1,64,0,45,1
628,48,1,27,1,23,1,65,1
629,17,1,67,1,64,1,17,1
630,27,1,48,0,0,0,2,1
631,66,0,38,1,64,0,27,0
632,27,1,72,0,41,1,10,0
633,36,1,64,1,28,1,48,1
634,17,1,46,0,38,0,59,0
635,64,1,74,0,53,0,36,0
636,48,0,12,0,65,1,51,1
637,60,1,65,1,9,1,27,1
638,0,1,36,1,48,1,39,0
639,10,0,27,1,63,0,5,1
640,33,1,4,1,27,1,41,1
641,58,1,0,1,26,1,65,1
642,27,1,27,1,72,1,28,1
643,59,1,0,1,26,1,39,0
644,27,0,39,1,66,0,1,1
645,0,1,27,1,64,1,60,1
646,36,1,61,0,5,1,75,1
647,65,1,38,0,64,1,66,0
648,67,1,41,1,8,1,25,1
649,48,0,40,0,9,1,41,1
650,17,1,42,0,36,1,66,1
651,8,1,40,1,48,0,9,0
652,66,1,17,0,17,0,37,0
653,64,1,36,1,65,1,15,1
654,1,1,64,1,38,1,45,1
655,28,1,0,1,36,0,60,0
656,65,1,38,1,76,0,64,1
657,18,0,76,0,36,1,36,1
658,38,1,64,1,72,0,2,1
659,21,0,17,0,24,0,9,1
660,49,1,65,1,40,1,37,1
661,26,1,60,1,43,1,23,1
662,9,1,62,0,41,1,24,1
663,65,1,68,1,54,1,41,1
664,64,1,62,1,64,1,40,1
665,25,0,0,0,66,0,38,1
666,43,0,66,1,28,1,40,1
667,64,1,41,1,66,1,25,1
668,40,1,49,1,23,1,61,1
669,37,1,20,1,4,1,27,1
670,0,1,49,0,9,1,38,0
671,64,1,17,1,64,1,66,1
672,68,0,41,0,17,1,28,0
673,74,1,36,1,38,1,64,1
674,40,1,48,1,36,1,12,1
675,62,0,14,0,0,1,53,0
676,48,1,64,1,64,1,17,1
677,27,1,59,1,65,0,38,1
678,36,0,60,0,10,1,64,1
679,32,0,53,1,38,0,64,1
680,41,1,44,1,38,1,3,1
681,66,1,42,1,64,1,65,0
682,47,0,65,0,26,1,40,0
683,49,0,2,1,25,0,65,1
